"Category","Assessor parcel number","Building classification","Year built","Acres","Building sq.ft."
"Existing","7005013067","Warehousing, Distribution, Storage","1980","8","180000"
"Existing","7351031007","Warehousing, Distribution, Storage","1980","8","180000"
"Existing","8059005045","Warehousing, Distribution, Storage","2005","7","180000"
"Existing","8168014021","Warehousing, Distribution, Storage","1980","8","180000"
"Existing","8206020022","Warehousing, Distribution, Storage","2001","8","180000"
"Existing","8617001031","Warehousing, Distribution, Storage","2020","8","180000"
"Existing","102400081","light industrial","1998","7","179000"
"Existing","156332016","light industrial","1997","7","179000"
"Existing","178330006","light industrial","1981","7","179000"
"Existing","115590016","light industrial","2000","7","179000"
"Existing","014801150","distribution warehouse","2007","7","179000"
"Existing","105044174","distribution warehouse","2025","7","179000"
"Existing","5106008008","Warehousing, Distribution, Storage","1980","7","179000"
"Existing","5211021003","Warehousing, Distribution, Storage","1980","7","179000"
"Existing","6332013037","Warehousing, Distribution, Storage","1986","7","179000"
"Existing","6332019002","Warehousing, Distribution, Storage","1980","7","179000"
"Existing","6336002019","Warehousing, Distribution, Storage","1987","7","179000"
"Existing","7005002042","Warehousing, Distribution, Storage","1980","7","179000"
"Existing","7318022032","Warehousing, Distribution, Storage","1986","7","179000"
"Existing","8044004019","Warehousing, Distribution, Storage","1980","7","179000"
"Existing","8330013050","Warehousing, Distribution, Storage","1998","7","179000"
"Existing","8616022013","Warehousing, Distribution, Storage","1980","7","179000"
"Existing","763141044","light industrial","2006","7","178000"
"Existing","023714126","storage warehouse","1999","7","178000"
"Existing","023821146","flex","1999","7","178000"
"Existing","023814410","improvements ass'd associated apn","2011","7","178000"
"Existing","026011308","improvements ass'd associated apn","2006","7","178000"
"Existing","027613177","distribution warehouse","2004","7","178000"
"Existing","045946128","improvements ass'd associated apn","2016","7","178000"
"Existing","105604104","distribution warehouse","2002","7","178000"
"Existing","107315108","storage warehouse","2021","7","178000"
"Existing","7003005024","Warehousing, Distribution, Storage","1980","7","178000"
"Existing","7149001172","Warehousing, Distribution, Storage","2024","7","178000"
"Existing","033-230-49","warehouse","1988","7","178000"
"Approved","DP 23-01","https://ceqanet.opr.ca.gov/2024080077","2027","7","178000"
"Existing","156310073","ct-light industrial","1996","7","177000"
"Existing","294690002","light industrial","2022","7","177000"
"Existing","016340107","storage building","1988","7","177000"
"Existing","020941136","distribution warehouse","2016","7","177000"
"Existing","023610125","distribution warehouse","2023","7","177000"
"Existing","023517117","distribution warehouse","2022","7","177000"
"Existing","023819324","distribution warehouse","1991","7","177000"
"Existing","023805248","flex","2001","7","177000"
"Existing","023810153","distribution warehouse","1987","7","177000"
"Existing","023813223","distribution warehouse","2004","7","177000"
"Existing","026005116","distribution warehouse","2019","7","177000"
"Existing","026636362","light industrial","1992","7","177000"
"Existing","028030225","light industrial","1980","7","177000"
"Existing","102101116","light industrial","2006","7","177000"
"Existing","2125011021","Warehousing, Distribution, Storage","1980","7","177000"
"Existing","2466011048","Warehousing, Distribution, Storage","2020","7","177000"
"Existing","2746015013","Warehousing, Distribution, Storage","1980","7","177000"
"Existing","6332021011","Warehousing, Distribution, Storage","1980","7","177000"
"Existing","6356005031","Warehousing, Distribution, Storage","2019","7","177000"
"Existing","7149001116","Warehousing, Distribution, Storage","2013","7","177000"
"Existing","2782037018","Warehousing, Distribution, Storage","2006","7","177000"
"Existing","2782037027","Warehousing, Distribution, Storage","2006","7","177000"
"Existing","410-022-52","warehouse","1980","7","177000"
"Existing","432-471-28","warehouse","1980","7","177000"
"Approved","DPR 20-00019 and TPM 38061 / 21-05272 Operon HKI Project","https://ceqanet.opr.ca.gov/2021110210","2027","7","177000"
"Approved","Ramona Expressway and Brennan Avenue Warehouse Project","https://ceqanet.opr.ca.gov/2022110066/2","2027","7","177000"
"Existing","948530003","warehouse/dry storage","2006","7","176000"
"Existing","156030039","light industrial","2005","7","176000"
"Existing","019437125","distribution warehouse","2006","7","176000"
"Existing","022925138","distribution warehouse","2002","7","176000"
"Existing","023609141","distribution warehouse","2021","7","176000"
"Existing","024026172","distribution warehouse","2014","7","176000"
"Existing","102123122","flex","2003","7","176000"
"Existing","108332104","distribution warehouse","2001","7","176000"
"Existing","6207036031","Warehousing, Distribution, Storage","1998","7","176000"
"Existing","6336020017","Warehousing, Distribution, Storage","1980","7","176000"
"Existing","7116004020","Warehousing, Distribution, Storage","1980","7","176000"
"Existing","7316026028","Warehousing, Distribution, Storage","1991","7","176000"
"Existing","8710011050","Warehousing, Distribution, Storage","1982","7","176000"
"Existing","145-521-14","warehouse","2001","7","176000"
"Existing","082-140-47","warehouse","1989","7","176000"
"Existing","156360007","light industrial","1998","7","175000"
"Existing","189160079","light industrial","1980","7","175000"
"Existing","011327137","distribution warehouse","2000","7","175000"
"Existing","021128132","distribution warehouse","1999","7","175000"
"Existing","023819314","flex","1986","7","175000"
"Existing","116711118","light industrial","1980","7","175000"
"Existing","6304001015","Warehousing, Distribution, Storage","1980","7","175000"
"Existing","7306014062","Warehousing, Distribution, Storage","1980","7","175000"
"Existing","8044004024","Warehousing, Distribution, Storage","2006","7","175000"
"Existing","8710013021","Warehousing, Distribution, Storage","1980","7","175000"
"Existing","612-055-13","warehouse","1990","7","175000"
"Existing","345-171-08","warehouse","1980","7","175000"
"Existing","160040053","warehouse/dry storage","1980","7","174000"
"Existing","156200017","warehouse/dry storage","1986","7","174000"
"Existing","011031148","distribution warehouse","2016","7","174000"
"Existing","029215815","distribution warehouse","2019","7","174000"
"Existing","306739115","storage warehouse","1985","7","174000"
"Existing","5243018010","Warehousing, Distribution, Storage","1980","7","174000"
"Existing","7149017057","Warehousing, Distribution, Storage","2019","7","174000"
"Existing","7315035048","Warehousing, Distribution, Storage","1986","7","174000"
"Existing","7351037022","Warehousing, Distribution, Storage","2005","7","174000"
"Existing","8417027090","Warehousing, Distribution, Storage","2003","7","174000"
"Existing","612-012-14","warehouse","2021","7","174000"
"Existing","414-201-01","warehouse","1980","7","174000"
"Existing","300210033","light industrial","2023","7","173000"
"Existing","656020037","light industrial","1992","7","173000"
"Existing","249140047","light industrial","2023","7","173000"
"Existing","257020036","light industrial","2003","7","173000"
"Existing","126260014","light industrial","2023","7","173000"
"Existing","021019253","storage warehouse","2023","7","173000"
"Existing","023813334","flex","1989","7","173000"
"Existing","024025149","flex","2018","7","173000"
"Existing","102820226","light industrial","2004","7","173000"
"Existing","2514008020","Warehousing, Distribution, Storage","1986","7","173000"
"Existing","6139013007","Warehousing, Distribution, Storage","1980","7","173000"
"Existing","8059001017","Warehousing, Distribution, Storage","2021","7","173000"
"Existing","8168009036","Warehousing, Distribution, Storage","1980","7","173000"
"Approved","5006 and 5010 Mission Boulevard Warehouse Project","https://ceqanet.opr.ca.gov/2022030195","2027","7","173000"
"Approved","Crow Holdings Industrial - Highland West","https://ceqanet.opr.ca.gov/2022120095","2027","7","173000"
"Existing","257020021","light industrial","2007","7","172000"
"Existing","329020042","light industrial","1980","7","172000"
"Existing","016745109","distribution warehouse","2008","7","172000"
"Existing","023810162","flex","1990","7","172000"
"Existing","026636203","distribution warehouse","1980","7","172000"
"Existing","029806206","improvements ass'd associated apn","2022","7","172000"
"Existing","2466011045","Warehousing, Distribution, Storage","2020","7","172000"
"Existing","2604002059","Warehousing, Distribution, Storage","2011","7","172000"
"Existing","6332001005","Warehousing, Distribution, Storage","2006","7","172000"
"Existing","7315033037","Warehousing, Distribution, Storage","1991","7","172000"
"Existing","8009020011","Warehousing, Distribution, Storage","1982","7","172000"
"Existing","8327015024","Warehousing, Distribution, Storage","2005","7","172000"
"Existing","224-261-08","warehouse","1998","7","172000"
"Existing","415-111-09","warehouse","1994","7","172000"
"Existing","234-101-26","warehouse","1980","7","172000"
"Approved","Development Plan Review 21-00008 - Harley Knox Boulevard Industrial Project","https://ceqanet.opr.ca.gov/2022110489","2027","7","172000"
"Existing","016339111","light industrial","1980","7","171000"
"Existing","026605109","light industrial","1996","7","171000"
"Existing","026636207","distribution warehouse","2017","7","171000"
"Existing","029806207","light industrial","1980","7","171000"
"Existing","104907101","light industrial","1980","7","171000"
"Existing","2603007031","Warehousing, Distribution, Storage","1999","7","171000"
"Existing","5242022005","Warehousing, Distribution, Storage","1980","7","171000"
"Existing","7016001088","Warehousing, Distribution, Storage","2008","7","171000"
"Existing","7347017012","Warehousing, Distribution, Storage","1980","7","171000"
"Existing","8002017027","Warehousing, Distribution, Storage","1984","7","171000"
"Existing","591-031-15","warehouse","1984","7","171000"
"Existing","115580007","light industrial","1997","7","170000"
"Existing","263050081","light industrial","2007","7","170000"
"Existing","101350012","light industrial","1990","7","170000"
"Existing","011344217","distribution warehouse","1999","7","170000"
"Existing","014139109","storage warehouse","2013","7","170000"
"Existing","016431134","distribution warehouse","1988","7","170000"
"Existing","023719149","distribution warehouse","2015","7","170000"
"Existing","028018148","distribution warehouse","2007","7","170000"
"Existing","029208270","improvements ass'd associated apn","2015","7","170000"
"Existing","109033103","storage warehouse","1980","7","170000"
"Existing","6222005017","Warehousing, Distribution, Storage","1980","7","170000"
"Existing","7319028059","Warehousing, Distribution, Storage","1980","7","170000"
"Existing","7351034057","Warehousing, Distribution, Storage","1990","7","170000"
"Existing","8264003021","Warehousing, Distribution, Storage","1980","7","170000"
"Existing","8760007042","Warehousing, Distribution, Storage","1987","7","170000"
"Existing","276-151-27","warehouse","2002","7","170000"
"Existing","345-201-35","warehouse","2013","7","170000"
"CEQA Review","Rexford Industrial Project","https://ceqanet.opr.ca.gov/2024101066","2030","7","170000"
"Approved","Bridge Point South Bay VII (ENV-2020-5488-MND)","https://ceqanet.opr.ca.gov/2021040316","2027","7","170000"
"Existing","234220021","light industrial","1980","7","169000"
"Existing","020923115","distribution warehouse","2003","7","169000"
"Existing","023814310","flex","1989","7","169000"
"Existing","029215621","light industrial","1990","7","169000"
"Existing","6334025013","Warehousing, Distribution, Storage","1980","7","169000"
"Existing","7001013130","Warehousing, Distribution, Storage","1980","7","169000"
"Existing","7001015019","Warehousing, Distribution, Storage","1999","7","169000"
"Existing","7319028058","Warehousing, Distribution, Storage","1981","7","169000"
"Existing","7351034066","Warehousing, Distribution, Storage","1980","7","169000"
"Existing","8546031054","Warehousing, Distribution, Storage","1987","7","169000"
"CEQA Review","Edgemont Commerce Center","https://ceqanet.opr.ca.gov/2022030789","2030","7","169000"
"Existing","541290012","warehouse/dry storage","1980","7","168000"
"Existing","380140018","warehouse/dry storage","2005","7","168000"
